# #stocks, #noise, #price, #walk, #kn, #action
5025,-20,0.004000000000000007,356,376,buy
5004,-5,0.009000000000000008,336,355,buy
4999,-28,0.010000000000000009,331,350,buy
4969,19,0.018000000000000016,303,320,sell
4988,-6,0.007000000000000007,322,339,buy
4982,17,0.013000000000000012,316,333,sell
5003,-28,0.004000000000000007,333,354,buy
4974,-4,0.017000000000000015,305,325,buy
4969,7,0.018000000000000016,301,320,sell
4979,5,0.010000000000000009,308,330,sell
4988,8,0.007000000000000007,313,339,sell
5003,24,0.004000000000000007,321,354,sell
5029,-11,6.938893903907228e-18,345,380,buy
5014,18,0.004000000000000007,334,365,sell
5036,7,-0.000999999999999993,352,387,sell
5051,11,-0.001999999999999993,359,402,sell
5072,-11,-0.004999999999999993,370,423,buy
5058,2,-0.000999999999999993,359,409,sell
5063,1,-0.002999999999999993,361,414,sell
5066,21,-0.003999999999999993,362,417,sell
5093,-15,-0.010999999999999996,383,444,buy
5075,30,-0.002999999999999993,368,426,sell
5114,-17,-0.013999999999999999,398,465,buy
5090,20,-0.002999999999999993,381,441,sell
5110,20,-0.012999999999999998,401,461,sell
5137,57,-0.017,421,488,sell
5200,11,-0.044000000000000025,478,551,sell
5213,-17,-0.07600000000000005,489,564,buy
5194,44,-0.04100000000000002,472,545,sell
5239,6,-0.08100000000000006,516,590,sell
5250,-5,-0.08300000000000006,522,601,buy
5245,-12,-0.05100000000000003,517,596,buy
5233,20,-0.03800000000000002,505,584,sell
5256,16,-0.07000000000000005,525,607,sell
5275,-21,-0.08900000000000007,541,626,buy
5253,-4,-0.03600000000000002,520,604,buy
5248,-47,-0.033000000000000015,516,599,buy
5197,1,-0.011999999999999997,469,548,sell
5198,-33,-0.015,470,549,buy
5165,-17,-0.000999999999999993,437,516,buy
5148,1,6.938893903907228e-18,420,499,sell
5150,42,-0.000999999999999993,421,501,sell
5194,13,-0.013999999999999999,463,545,sell
5207,20,-0.017,476,558,sell
5231,13,-0.023000000000000007,496,582,sell
5250,7,-0.029000000000000012,509,601,sell
5261,-12,-0.03500000000000002,516,612,buy
5248,39,-0.021000000000000005,504,599,sell
5295,-17,-0.044000000000000025,543,646,buy
5276,14,-0.02600000000000001,526,627,sell
5296,64,-0.043000000000000024,540,647,sell
5365,-10,-0.10700000000000008,604,716,buy
5351,-19,-0.02700000000000001,594,702,buy
5330,-4,-0.013999999999999999,575,681,buy
5315,-2,-0.011999999999999997,571,666,buy
5306,24,-0.010999999999999996,569,657,sell
5331,-14,-0.02700000000000001,593,682,buy
5314,-8,-0.012999999999999998,579,665,buy
5306,-17,-0.010999999999999996,571,657,buy
5287,1,-0.005999999999999993,554,638,sell
5288,5,-0.008999999999999994,555,639,sell
5293,-8,-0.011999999999999997,560,644,buy
5278,12,-0.002999999999999993,552,629,sell
5290,23,-0.008999999999999994,564,641,sell
5314,7,-0.018000000000000002,587,665,sell
5330,-30,-0.023000000000000007,594,681,buy
5291,-13,-0.005999999999999993,564,642,buy
5278,4,-0.002999999999999993,551,629,sell
5282,11,-0.004999999999999993,555,633,sell
5293,-6,-0.009999999999999995,566,644,buy
5282,-15,-0.003999999999999993,560,633,buy
5253,26,6.938893903907228e-18,545,604,sell
5280,-8,-0.008999999999999994,571,631,buy
5268,-34,-0.002999999999999993,563,619,buy
5224,4,0.003000000000000007,529,575,sell
5228,-5,0.001000000000000007,533,579,buy
5217,24,0.004000000000000007,528,568,sell
5243,9,-0.001999999999999993,552,594,sell
5252,19,-0.003999999999999993,561,603,sell
5276,-55,-0.009999999999999995,580,627,buy
5217,-3,0.004000000000000007,525,568,buy
5214,28,0.005000000000000007,522,565,sell
5245,-5,-0.001999999999999993,550,596,buy
5240,46,6.938893903907228e-18,545,591,sell
5293,-14,-0.011999999999999997,591,644,buy
